,0,Unnamed: 0,topic,type,value,word
19,,19.0,1.0,harddrugs,0.0998373980630331,opnemen
20,,20.0,2.0,harddrugs,0.1744630142020589,hennep
21,,21.0,2.0,harddrugs,0.163643105089751,tweetal_adres
22,,22.0,2.0,harddrugs,0.1568136720610726,telkens
23,,23.0,2.0,harddrugs,0.1370059190395355,heroine
24,,24.0,2.0,harddrugs,0.1369833907908592,ensched
25,,25.0,2.0,harddrugs,0.1224546158996334,gram
26,,26.0,2.0,harddrugs,0.1178019024638559,elk_geval
27,,27.0,2.0,harddrugs,0.1087179972437532,roosendaal
28,,28.0,2.0,harddrugs,0.1055064887517418,vijfde_lid
29,,29.0,2.0,harddrugs,0.1052564514869976,eenmaal
30,,30.0,3.0,harddrugs,0.3750195837238092,loods
31,,31.0,3.0,harddrugs,0.2898363181258106,mailadres
32,,32.0,3.0,harddrugs,0.1992088534375581,sprinter
33,,33.0,3.0,harddrugs,0.1128799783529018,vuurwapen
34,,34.0,3.0,harddrugs,0.1109782300884586,bijnaam
35,,35.0,3.0,harddrugs,0.1073616652548535,pgp
36,,36.0,3.0,harddrugs,0.1055896786200907,bro
37,,37.0,3.0,harddrugs,0.1005482385410291,bedrijf
38,,38.0,3.0,harddrugs,0.0961466750987046,wapen
39,,39.0,3.0,harddrugs,0.0903024694261887,woonplaats
0,,0.0,0.0,burglary,0.1848942556885891,medeverdacht
1,,1.0,0.0,burglary,0.1518041903047614,auto
2,,2.0,0.0,burglary,0.1428857872215823,geweld
3,,3.0,0.0,burglary,0.1332140554860121,persoon
4,,4.0,0.0,burglary,0.1240092579120843,mededader
5,,5.0,0.0,burglary,0.1119278086305532,geld
6,,6.0,0.0,burglary,0.1102094926558608,voornemen
7,,7.0,0.0,burglary,0.1082425187336562,man
8,,8.0,0.0,burglary,0.1061508474069234,delict
9,,9.0,0.0,burglary,0.1060077430045197,getuige
10,,10.0,1.0,burglary,0.2383120419284711,eren
11,,11.0,1.0,burglary,0.2264410365575499,voornemen
12,,12.0,1.0,burglary,0.2113644073859772,uitvoering
13,,13.0,1.0,burglary,0.1992025009135557,mededader
14,,14.0,1.0,burglary,0.1909935834344535,geld
15,,15.0,1.0,burglary,0.1701163002440057,gading
16,,16.0,1.0,burglary,0.1514103714364172,toeeigening
17,,17.0,1.0,burglary,0.1280311889792935,misdrijf
18,,18.0,1.0,burglary,0.1256638451860901,enig
19,,19.0,1.0,burglary,0.1196542214475258,hunner_gading
20,,20.0,2.0,burglary,0.2077124094607265,auto
21,,21.0,2.0,burglary,0.2042963191681768,kenteken
22,,22.0,2.0,burglary,0.1669415097971014,audi
23,,23.0,2.0,burglary,0.1447798926364894,kluis
24,,24.0,2.0,burglary,0.1232754897914766,rijden
25,,25.0,2.0,burglary,0.1199330024214509,voertuig
26,,26.0,2.0,burglary,0.1064097444932652,drug
27,,27.0,2.0,burglary,0.105601086206829,wit
28,,28.0,2.0,burglary,0.1050631019009075,personenauto
29,,29.0,2.0,burglary,0.0962416206927213,bedrijf
30,,30.0,3.0,burglary,0.1744515329074236,geweld
31,,31.0,3.0,burglary,0.1048463518975856,art_lid
32,,32.0,3.0,burglary,0.1029939241183842,zeggen
33,,33.0,3.0,burglary,0.0962426942010952,kluis
34,,34.0,3.0,burglary,0.0950035183945276,man
35,,35.0,3.0,burglary,0.089885950755774,bedreiging
36,,36.0,3.0,burglary,0.0826962638344307,woord_pistola
37,,37.0,3.0,burglary,0.0804667484789046,strafrecht
38,,38.0,3.0,burglary,0.0792990441047603,telefoon
39,,39.0,3.0,burglary,0.0748988441745027,medeverdacht
0,",value,word,topic,type
",,,,,
1,"0,0.29501943518522145,partij,0,abuse
",,,,,
2,"1,0.15053741751441185,gemeente,0,abuse
",,,,,
3,"2,0.14196930849722006,mes,0,abuse
",,,,,
4,"3,0.13735663264668171,hoofd,0,abuse
",,,,,
5,"4,0.13626296667991603,voornoemd,0,abuse
",,,,,
6,"5,0.12488113822626495,gezicht,0,abuse
",,,,,
7,"6,0.12291196454599962,steken,0,abuse
",,,,,
8,"7,0.11651150992773847,lichaam,0,abuse
",,,,,
9,"8,0.11453569260279231,schoppen,0,abuse
",,,,,
10,"9,0.11340451375613944,meermalen,0,abuse
",,,,,
11,"10,0.07527214769249847,medeverdacht,1,abuse
",,,,,
12,"11,0.07112862599045457,mes,1,abuse
",,,,,
13,"12,0.06515210515567049,poging,1,abuse
",,,,,
14,"13,0.06431510957919548,voornoemd,1,abuse
",,,,,
15,"14,0.06210923468379566,getuige,1,abuse
",,,,,
16,"15,0.06085791568528417,persoon,1,abuse
",,,,,
17,"16,0.06051187338324898,steken,1,abuse
",,,,,
18,"17,0.05694491639792359,zeggen,1,abuse
",,,,,
19,"18,0.056637906113675904,auto,1,abuse
",,,,,
20,"19,0.05491321053226287,man,1,abuse
",,,,,
21,"20,0.27296026922464306,voornoemd,2,abuse
",,,,,
22,"21,0.23763388471087948,geval,2,abuse
",,,,,
23,"22,0.17481248857206086,mishandelen,2,abuse
",,,,,
24,"23,0.149087065811155,gemeente,2,abuse
",,,,,
25,"24,0.14864273380026075,lichaam,2,abuse
",,,,,
26,"25,0.1460848010038369,stompen,2,abuse
",,,,,
27,"26,0.14165436762387976,meermalen,2,abuse
",,,,,
28,"27,0.1369050747133953,hoofd,2,abuse
",,,,,
29,"28,0.13429234615816296,vereniging,2,abuse
",,,,,
30,"29,0.1279138805074817,eenmaal,2,abuse
",,,,,
31,"30,0.17891083675299488,gemeente,3,abuse
",,,,,
32,"31,0.10365170181793669,medeverdacht,3,abuse
",,,,,
33,"32,0.07100631366791801,art_lid,3,abuse
",,,,,
34,"33,0.06581602201104614,steken,3,abuse
",,,,,
35,"34,0.06208847126986397,mes,3,abuse
",,,,,
36,"35,0.061950127830810366,man,3,abuse
",,,,,
37,"36,0.05573895804299408,utrecht,3,abuse
",,,,,
38,"37,0.05472385044288703,voornemen,3,abuse
",,,,,
39,"38,0.053369920567737344,uitvoering,3,abuse
",,,,,
40,"39,0.05130458376361507,vereniging,3,abuse
",,,,,
